category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,registry,retired,status
forest,Mexico,2023-02-02 00:00:00+00:00,2023-04-13 00:00:00+00:00,FALSE,2587,2022-02-16 00:00:00+00:00,Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan,CAR1524,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1524,Bienes Comunales San Miguel Ixtapan,['car-forest-mx'],climate-action-reserve,2388,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-05-24 00:00:00+00:00,FALSE,1119,2022-02-16 00:00:00+00:00,Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec,CAR1525,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1525,Bienes Comunales de San Miguel Xoltepec,['car-forest-mx'],climate-action-reserve,1034,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-04-13 00:00:00+00:00,FALSE,522,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido Nuevo San Juan Atezcapan,CAR1526,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1526,Ejido Nuevo San Juan Atezcapan,['car-forest-mx'],climate-action-reserve,483,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-04-13 00:00:00+00:00,FALSE,558,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido San Miguel Sultepec,CAR1527,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1527,Ejido San Miguel Sultepec,['car-forest-mx'],climate-action-reserve,516,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,FALSE,209,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido La Candelaria,CAR1528,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1528,Ejido La Candelaria,['car-forest-mx'],climate-action-reserve,194,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-04-13 00:00:00+00:00,FALSE,352,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido Capilla Vieja,CAR1529,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1529,Ejido Capilla Vieja,['car-forest-mx'],climate-action-reserve,326,registered
forest,Mexico,2022-07-21 00:00:00+00:00,2022-08-04 00:00:00+00:00,FALSE,17651,2022-02-03 00:00:00+00:00,"Carbono, Agua y Biodiversidad IndÃ­gena Jaltianguis",CAR1531,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1531,COMUNIDAD DE SANTA MARIA JALTIANGUIS,['car-forest-mx'],climate-action-reserve,16286,registered
forest,Mexico,2022-11-07 00:00:00+00:00,2023-02-21 00:00:00+00:00,FALSE,75972,2022-03-03 00:00:00+00:00,"Carbono, Agua y Biodiversidad IndÃ­gena Comaltepec",CAR1532,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1532,COMUNIDAD DE SANTIAGO COMALTEPEC,['car-forest-mx'],climate-action-reserve,70088,registered
forest,Mexico,2022-08-04 00:00:00+00:00,2023-06-30 00:00:00+00:00,FALSE,900,2022-04-28 00:00:00+00:00,P. P. La PinziÃ³n,CAR1535,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1535,Predio La PinziÃ³n,['car-forest-mx'],climate-action-reserve,90,registered
forest,Mexico,2022-08-04 00:00:00+00:00,2023-06-30 00:00:00+00:00,FALSE,1119,2022-04-28 00:00:00+00:00,P. P. PeÃ±a del gato,CAR1536,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1536,PeÃ±a del gato,['car-forest-mx'],climate-action-reserve,101,registered
